identifier,name,description,image,url,interior,tipo-evento,isAccesibleForFree,eventAttendanceMode,workPerformed,doorTime,audience,maximunAttendeCapacity,typicalAgeRange,startDate,endDate,eventStatus,Provincia,Municipio,Distrito,Barrio,nombre,address,postalCode
11587808,Degustación de felicidad,"Un espacio abierto para el autocuidado donde compartiremos estrategias y técnicas de relajación y bienestar aplicables a la vida cotidiana. Se trata de un taller pensado para hacer un alto en el camino para contactar con tu cuerpo, coger fuerza y cuidar de tu salud física y emocional. Si te apetece dedicarte un rato para ti y compartir con otras mujeres, no lo dudes ¡te esperamos todos los miércoles en este taller exprés antiestrés! Puedes venir a sesiones sueltas o de forma continuada.",https://www.madrid.es/UnidadesDescentralizadas/IgualdadDeOportunidades/ContenidosBasicos/Actividades/Espacios%20Igualdad/2022/elenaarnedo/ficheros/miercoles_felicidad_arnedo.jpg,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5a9c8d03a6abe710VgnVCM2000001f4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/taller,true,Presencial,,,Mujeres,,18-99,2022-04-06T10:30+01:00,2022-06-22T11:30+01:00,Por empezar,Madrid,Madrid,RETIRO,ADELFAS,Espacio de Igualdad Elena Arnedo Soriano. Retiro,CALLE ARREGUI Y ARUEJ 31,28007
11630237,Délica Chamber Orchestra,"La Délica Chamber Orchestra está integrada por:  Olga Iakushina Daria Chystiakova Claudia Ortiz Elizabeth Hernández ELizavetta Koroleva Karine Vardanyan Anastasija Averianova Nerea Sorozábal Rosa García Elizaveta Yaroshinskaia     Es un conjunto formado exclusivamente por mujeres con gran talento musical procedentes de las orquestas más prestigiosas de Europa como Inglaterra, Alemania, Austria, Hungría, Francia, España entre otros. Su repertorio abarca desde el barroco hasta la música moderna llegando así a todo tipo de géneros y estilos.      Programa de los temas:   Johann Sebastian BACH (1685-1750)  Concierto en sol menor BWV 1056r para violín y Orquesta  Allegro moderato   Largo    Presto      Concierto en mi mayor BWV 1042 para violín y Orquesta  Allegro   Adagio   Allegro assai    Concierto en la menor BWV 1041 para violín y Orquesta  Allegro   Andante   Allegro assai    Concierto en re menor BWV 1052a para violín y Orquesta  Allegro   Adagio   Allegro    Concierto en re menor BWV 1043 para dos violines y Orquesta  Vivace   Largo ma non tanto   Allegro",https://www.madrid.es/UnidadWeb/UGBBDD/Actividades/Distritos/Vicalvaro/ficheros/delica.jpg,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=19b45fc1d339f710VgnVCM1000001d4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/concierto,true,Presencial,,,Adultos,,16-99,2022-06-04T20:30+01:00,2022-06-04T20:30+01:00,Por empezar,Madrid,Madrid,VICALVARO,CASCO H.VICALVARO,Parroquia Santa María La Antigua,CALLE VIRGEN DE LA ANTIGUA 9,28032
11413107,Dystopie,"En Dystopie todos execran de la propiedad privada, pero secretamente trabajan para obtenerla. Todos detestan las diferencias, pero siempre buscan ser especiales. Todos odian el dinero, pero una vez obtenido nadie lo regala. Todos aborrecen la religión, pero abrazan sus propios dogmas inventados día a día. Todos ignoran la política, pero durante toda la vida no hacen más que votar a los mismos líderes que se alternan el poder entre ellos. Todos consideran que el estudio es lo más importante, pero odian las calificaciones.",https://www.madrid.es/UnidadWeb/UGBBDD/MadridDestino/ficheros/MADRID_DESTINO_35197_es.jpeg,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=82293acad95f9710VgnVCM1000001d4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/danza,true,Presencial,,,,Jovenes,16-99,2022-06-24T19:00+01:00,2022-07-10,Por empezar,Madrid,Madrid,ARGANZUELA,CHOPERA,Naves Español en Matadero,PASEO CHOPERA 14,28045
11636800,El libro que se sentía solo,"Actividad de animación a la lectura, para niñas y niños de 5 a 8 años, en la que disfrutaremos de este libro a través de diferentes recursos que nos hagan disfrutar de la misma. Imprescindible inscripción previa a través de formulario disponible, a partir del 4 de abril, en el apartado 'Información relacionada' Por cada inscripción entrará el menor participante acompañado de un adulto. La biblioteca confirmará la inscripción.",https://www.madrid.es/UnidadesDescentralizadas/Bibliotecas/BibliotecasPublicas/ActividadesBPM/CuentosInfantiles/HorasDeCuento/ficheros/LaHoradelCuentoPioBaroja_260x260.jpg,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=15f03301c1bbf710VgnVCM1000001d4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/cuento,true,Presencial,,,Infantil,,5-8,2022-04-21T18:00+01:00,2022-04-21,Terminado,Madrid,Madrid,ARGANZUELA,ACACIAS,Biblioteca Pública Municipal Pío Baroja (Arganzuela),CALLE ARGANDA 12,28005
11638469,El profesor chiflado,Magia infantil. Sinopsis: Un espectáculo en el que la ciencia y la magia se unen de la mano para sorprender a los más pequeños con divertidos experimentos y juegos de magia. ,https://www.madrid.es/UnidadesDescentralizadas/DistritoMoratalaz/Actividades/2022/Abril/ficheros/chiflado.jpg,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=c96fb2b0ea0cf710VgnVCM1000001d4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/pelicula,true,Presencial,,,Infantil,,3-12,2022-04-09T18:00+01:00,2022-04-09,Terminado,Madrid,Madrid,MORATALAZ,VINATEROS,Centro Cultural el Torito (Moratalaz),AVENIDA MORATALAZ 130,28030
11643150,En un muelle de Normandía,"Una reconocida autora decide escribir un libro sobre la precariedad laboral. Para ello, ocultando su identidad, consigue trabajo como limpiadora en un pueblo de Normandía, y descubre una vida ignorada por el resto de la sociedad.",https://www.madrid.es/UnidadWeb/UGBBDD/Actividades/Distritos/SanBlas/ficheros/lossabcine.bmp,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=65c5f832825df710VgnVCM1000001d4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/pelicula,true,Presencial,,,Jovenes,,12-99,2022-06-04T19:00+01:00,2022-06-04T20:45+01:00,Por empezar,Madrid,Madrid,SAN BLAS-CANILLEJAS,CANILLEJAS,Centro Cultural Buero Vallejo (San Blas - Canillejas),CALLE BOLTA&amp;Ntilde;A 27,28022
11413111,En un sol amarillo. Memorias de un temblor,"En un sol amarillo es una obra que reflexiona sobre la tragedia y la corrupción, recuenta la historia de una comunidad frente a la devastación. Está basada en el terremoto que en 1998 dejó decenas de comunidades bolivianas destruidas. ",https://www.madrid.es/UnidadWeb/UGBBDD/MadridDestino/ficheros/MADRID_DESTINO_35198_es.jpeg,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=41793acad95f9710VgnVCM1000001d4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/teatro,true,Presencial,,,Todos los publicos,,12-99,2022-07-13T19:30+01:00,2022-07-17,Por empezar,Madrid,Madrid,ARGANZUELA,CHOPERA,Naves Español en Matadero,PASEO CHOPERA 14,28045
11514185,Espacio de crianza y juego libre,El día 9 de noviembre dará comienzo el Espacio de Crianza y Juego Libre.,https://www.madrid.es/UnidadesDescentralizadas/DistritoRetiro/FICHEROS/FICHEROS%20ACTIVIDADES%20NOVIEMBRE/crianza.jpg,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cfe713f0840fc710VgnVCM1000001d4a900aRCRD,true,,true,Presencial,,,Familias,,0-99,2021-11-09T17:30+01:00,2022-06-28,Por empezar,Madrid,Madrid,RETIRO,PACIFICO,Centro Sociocultural Clara Campoamor (Retiro),PLAZA DAOIZ Y VELARDE 2,28007
11580736,GET NO - Latina,"GET NO es un lugar de paso en el que contemplar, un no lugar. Un millón de rincones transitables y encuentros fugaces como en un aeropuerto. Personas que se detienen, historias breves que son observadas en el tiempo que dura un pestañear de ojos o que puede durar eternamente.",https://www.madrid.es/UnidadesDescentralizadas/CiudadDistrito/ficheros/CIUDAD_DISTRITO_132606_es.jpg,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3a361fc9c969e710VgnVCM1000001d4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/danza,true,Presencial,,,Jovenes,,16-99,2022-06-18T19:00+01:00,2022-06-18,Por empezar,Madrid,Madrid,LATINA,LAS AGUILAS,Auditorio y sala de exposiciones Paco de Lucía (Latina),AVENIDA LAS AGUILAS 2,28044
11634548,Hechos luctuosos del Madrid Antiguo,"Acompáñanos en la visita guiada 'Hechos luctuosos del Madrid Antiguo', donde conoceremos aquellos acontecimientos y leyendas negras que removieron los sentimientos de la población. Incendios, historias urbanas, casas abandonadas, viviendas derribadas, epidemias, condenas y todas aquellas vivencias que vivieron los habitantes de la ciudad en aquella época tan sombría.",https://www.madrid.es/UnidadesDescentralizadas/Bibliotecas/BibliotecasPublicas/ActividadesBPM/RutasCulturales/ficheros/luctuosos_260.jpg,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=710cffb77b0bf710VgnVCM2000001f4a900aRCRD,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/exposicion,true,Presencial,,,Todos los publicos,,0-99,2022-06-22T11:00+01:00,2022-06-22,Por empezar,Madrid,Madrid,CIUDAD LINEAL,LA ELIPA,Biblioteca Pública Municipal La Elipa (Ciudad Lineal),CALLE NUESTRA SEÑORA DEL VILLAR 6,28017
