identifier,name,description,image,url,fileFormat,interior,tipo-evento,isAccesibleForFree,eventAttendanceMode,workPerformed,doorTime,audience,maximumAttendeeCapacity,typicalAgeRange,startDate,endDate,eventStatus,addressRegion,addressLocality,nombre,id,streetAddress,postalCode
1285145047183,'Con beee!! de oveja' (KAMARU TEATRO),"El espectáculo ""Con beee de oveja"" cuenta el paso de un rebaño muy peculiar. Comandadas por Bruno, un sabio perro pastor y Margarita la pastorcilla soñadora.","https://datosabiertos.jcyl.es/web/jcyl/binarios/193/474/Con%20beee!!%20de%20oveja,0.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true",http://www.kamaru.es,HTML,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/teatro,,Prensecial,,,Público familiar,,0-,2022-05-28T19:00+01:00,2022-05-28T20:00+01:00,Terminado,Salamanca,Ledesma,Auditorio del Centro Comarcal de Nuevas Tecnologías (Ledesma),1285139476734,Plaza Verdura 12,37100
1285144835353,'Con la cabeza en las nubes' (EUGENIA MANZANERA DE LA FUENTE),"Eugenia Manzanera quiere celebrar, que lleva en esto de la farándula 30 años.

","https://datosabiertos.jcyl.es/web/jcyl/binarios/603/951/Con%20la%20cabeza%20en%20las%20nubes,6.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true",https://eugeniamanzanera.com/,HTML,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/teatro,,Prensecial,,,Público familiar,,0-,2022-05-18T19:00+01:00,2022-05-18T19:50+01:00,Terminado,Salamanca,Villamayor,Teatro Casa de la Cultura Antonio Gamoneda (Villamayor),1284305892589,"C/ Escuelas Nuevas, s/n",37185
1285144199175,'Cosas nuestras' (KATUA&GALEA TEATRO),«Cosas nuestras» es el título de esta sesión de cuentos. Un espectáculo de narración oral para mujeres y hombres con lo femenino como hilo conductor de las diferentes historias que dan forma a este espectáculo.,"https://datosabiertos.jcyl.es/web/jcyl/binarios/842/463/COSAS%20NUESTRAS,4.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true",https://katuateatro.com/cuentos-para-mujeres,HTML,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/teatro,false,Prensecial,,,Adultos,,18-,2022-05-14T22:30+01:00,2022-05-14T23:30+01:00,Terminado,Salamanca,Monleras,Espacio escénico La Panera,1285133492929,Calle Valentín Iglesias 54,37171
1285152029237,'El bosque de cuentos' (CHARO JAULAR),"Historias de árboles únicos y mágicos del mundo, son fuente de vida, historias tradicionales del mundo, los árboles, ven a escucharles, son unos de los habitantes más antiguos de la tierra.","https://datosabiertos.jcyl.es/web/jcyl/binarios/748/60/EL%20BOSQUE%20DE%20CUENTOS,0.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true",https://www.charojaular.info/,HTML,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/teatro,false,Prensecial,,,Público familiar,,0-,2022-07-30T20:00+01:00,2022-07-30T21:00+01:00,Por empezar,Salamanca,Sequeros,Teatro León Felipe (Sequeros),1284305888989,"C/ Teatro, s/n",37650
1285150149603,'El circo de las ranas' (JUAN CATALINA),"EL CIRCO DE LAS RANAS es Beppo el barrendero quien nos hace reflexionar sobre toda la basura que generamos como sociedad y nos invita a dar solución.

","https://datosabiertos.jcyl.es/web/jcyl/binarios/165/237/El%20circo%20de%20las%20ranas,0.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true",https://www.juancatalina.com/espectaculos/el-circo-de-las-ranas/,HTML,false,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/teatro,false,Prensecial,,,Público familiar,,0-,2022-07-16T22:30+01:00,2022-07-16T23:25+01:00,Por empezar,Salamanca,Monleras,Espacio escénico La Panera,1285133492929,Calle Valentín Iglesias 54,37171
1285138670602,'El sótano encantado' (TEATRO MUTIS),"Rosaura, una muchacha que lee muchos libros fantásticos y de misterio, y cree en fantasmas, espíritus, magia y encantamientos, tiene como mejor amigo a Leo, un chico con los pies en la tierra, que sólo confía en su razón y cree que todas esas cosas son cuentos para niños.","https://datosabiertos.jcyl.es/web/jcyl/binarios/560/461/El%20s%C3%B3tano%20encantado,10.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true",http://www.teatromutis.com,HTML,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/teatro,,Prensecial,,,Público familiar,,0-,2022-04-15T19:00+01:00,2022-04-15T20:00+01:00,Terminado,Salamanca,Villarino de los Aires,Cine Municipal de Villarino de los Aires,1284808988618,"Calle Eras, 6",37160
1285139511846,'Guitarras de cine' (JESÚS PARRA),"Grupo de guitarristas, que presentaron en el festival de cine Europeo de Segovia, su repertorio de música de cine a dos guitarras y en clave de jazz. Temas como ""Lo que el viento se llevo"" ,""Entertainer"", ""As times go by"", ""Amelie"", ""Amarcord"", etc haciendo un repaso a bandas sonoras de toda la vida que nos han marcado.","https://datosabiertos.jcyl.es/web/jcyl/binarios/352/631/GUITARRAS%20DE%20CINE,0.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true",https://jesusparra.com.es,HTML,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/concierto,,Prensecial,,,Adultos,,18-,2022-04-22T20:30+01:00,2022-04-22T21:50+01:00,Terminado,Salamanca,Villoria,Teatro Municipal (Villoria),1284306374656,"C/ Cañada, 4",37339
1285142107385,"'La Celestina, un selfie con Melibea' (UN PINGÜINO PRODUCCIONES)","Sara lee ensimismada ""La Celestina"", de pronto, vencida por la noche, se queda dormida, la primera sorpresa llega cuando está hablando con Melibea, pues resulta que está viviendo la aventura dentro del cuerpo de Calisto.","https://datosabiertos.jcyl.es/web/jcyl/binarios/281/71/La%20Celestina,0.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true",http://unpinguinoproducciones.es/lacelestinaunselfieconmelibea,HTML,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/teatro,,Prensecial,,,Adultos,,18-,2022-04-30T20:00+01:00,2022-04-30T21:25+01:00,Terminado,Salamanca,Macotera,Centro Cultural de Santa Ana (Macotera),1284262981154,"Plaza de Santa Ana, s/n",37310
1285137724159,'La Chimba' (INNOVARTE CREACIONES ARTISTICAS),"Comienza el circo sin haber elevado la carpa y sin haber preparado ninguna pista. Pues el Circo la Chimba disfruta del calor del sol o de la luz de las estrellas.

","https://datosabiertos.jcyl.es/web/jcyl/binarios/547/462/La%20Chimba,4.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true",https://theshesters.com/espectaculos,HTML,false,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/circo,true,Prensecial,,,Público familiar,,0-,2022-04-08T12:00+01:00,2022-04-08T13:00+01:00,Terminado,Salamanca,Guijuelo,Centro Cultural (Guijuelo),1284236225606,"C/ Príncipe Felipe, 55",03770
1285149591405,'La vida es un cuento y los cuentos sueños son' (POPY VEGAS),"La duende Elva es una excelente cocinera, y por lo tanto narradora de historias y juglar en los caminos. Brujas, bosques, títeres, y cuentos secretos se van a narrar en esta obra haciéndonos pasar un rato especial. La duende Elva será la maestra de ceremonia que nos guiará por el camino, y aquella que nos mostrará existencia de la magia.","https://datosabiertos.jcyl.es/web/jcyl/binarios/630/760/La%20vida%20es%20un%20cuento%20y%20los%20cuentos%20sue%C3%B1os%20son.,4.jpeg?blobheader=image%2Fjpeg&amp;blobheadername1=Cache-Control&amp;blobheadername2=Expires&amp;blobheadername3=Site&amp;blobheadervalue1=no-store%2Cno-cache%2Cmust-revalidate&amp;blobheadervalue2=0&amp;blobnocache=true",https://popyvegas.blogspot.com/,HTML,true,http://vocab.linkeddata.es/datosabiertos/kos/cultura-ocio/agenda/tipo-evento/teatro,false,Prensecial,,,Público familiar,,0-,2022-07-01T12:00+01:00,2022-07-01T13:00+01:00,Por empezar,Salamanca,Sancti-Spíritus,Centro Cultural (Sancti-Spíritus),1284305888186,"C/ Salamanca, 82",37470
