id,titulo,url,fechainicio,fechafin,longitud,latitud
"3423","Paquete especial Semana Santa. Entradas a espacios interiores del Castillo de Lorca. (Del 14 al 17 de Abril)","https://www.lorca.es/agenda/detalleagenda.asp?idagenda=3423","14/04/2020 0:00:00","17/04/2022 0:00:00","-1.70473001075902","37.6775412071535"
"3403","EXPOSICIÓN CARTELES DE SEMANA SANTA LORCA","https://www.lorca.es/agenda/detalleagenda.asp?idagenda=3403","29/03/2022 0:00:00","17/04/2022 0:00:00","-1.69771871639409","37.6749597527241"
"3397","ACTIVIDADES DIRIGIDAS C.D. FELIPE VI ABRIL 2022","https://www.lorca.es/agenda/detalleagenda.asp?idagenda=3397","31/03/2022 0:00:00","30/04/2022 0:00:00","-1.68850801063695","37.6773416571359"
"3426","El Rey Sabio para niños: el ajedrez y la Torre Alfonsina ","https://www.lorca.es/agenda/detalleagenda.asp?idagenda=3426","02/04/2022 0:00:00","23/04/2022 0:00:00","-1.70473001075902","37.6775412071535"
"3422","AGENDA DEPORTIVA FIN DE SEMANA","https://www.lorca.es/agenda/detalleagenda.asp?idagenda=3422","07/04/2022 0:00:00","10/04/2022 0:00:00","-1.69475219322362","37.6728962229164"
"3432","PROGRAMA SEMANA SANTA LORCA 2022","https://www.lorca.es/agenda/detalleagenda.asp?idagenda=3432","08/04/2022 0:00:00","17/04/2022 0:00:00","-1.69908396078267","37.6767854617011"
"3421","SILVESTRISMO","https://www.lorca.es/agenda/detalleagenda.asp?idagenda=3421","09/04/2022 0:00:00","09/04/2022 0:00:00","-1.73567465616379","37.6401480548923"
"3360","AUTOMOVILISMO","https://www.lorca.es/agenda/detalleagenda.asp?idagenda=3360","09/04/2022 0:00:00","09/04/2022 0:00:00","-1.87680444790039","37.8433849777453"
"3425","La otra Semana Santa ","https://www.lorca.es/agenda/detalleagenda.asp?idagenda=3425","09/04/2022 0:00:00","13/04/2022 0:00:00","-1.69696769786992","37.6797234850808"
"3427","Visita guiada antigua Colegiata San Patricio","https://www.lorca.es/agenda/detalleagenda.asp?idagenda=3427","09/04/2022 0:00:00","16/04/2022 0:00:00","-1.69987521244207","37.6767132833618"
"3300","Visita guiada: LORCA MONUMENTAL Y SU BORDADO","https://www.lorca.es/agenda/detalleagenda.asp?idagenda=3300","10/04/2022 0:00:00","10/04/2022 0:00:00","-1.69908396078267","37.6767854617011"
"3394","Visita guiada Lorca, Semana Santa y su Bordado 2022","https://www.lorca.es/agenda/detalleagenda.asp?idagenda=3394","11/04/2022 0:00:00","15/04/2022 0:00:00","-1.69908396078267","37.6767854617011"
"3383","MASS ARTESANÍA 2022","https://www.lorca.es/agenda/detalleagenda.asp?idagenda=3383","13/04/2022 0:00:00","17/04/2022 0:00:00","-1.69843218399205","37.6736329011525"
"3407","MERCADO DE ARTESANIA SEMANA SANTA 2022","https://www.lorca.es/agenda/detalleagenda.asp?idagenda=3407","13/04/2022 0:00:00","17/04/2022 0:00:00","-1.69843218399205","37.6736329011525"
"3411","CURSO DE ENTRENADOR DE VOLEY PLAYA","https://www.lorca.es/agenda/detalleagenda.asp?idagenda=3411","14/04/2022 0:00:00","17/04/2022 0:00:00","-1.73162183834233","37.6400546015108"
"3395","Visita guiada Lorca Monumental 2022","https://www.lorca.es/agenda/detalleagenda.asp?idagenda=3395","16/04/2022 0:00:00","17/04/2022 0:00:00","-1.69908396078267","37.6767854617011"
"3424","RECREACIÓN HISTÓRICA &quot;LA VIDA EN LA JUDERÍA&quot; ","https://www.lorca.es/agenda/detalleagenda.asp?idagenda=3424","16/04/2022 0:00:00","16/04/2022 0:00:00","-1.70473001075902","37.6775412071535"
"3326","Visita guiada: EL CASCO ANTIGUO DE LORCA","https://www.lorca.es/agenda/detalleagenda.asp?idagenda=3326","16/04/2022 0:00:00","16/04/2022 0:00:00","-1.69908396078267","37.6767854617011"
"3075","EL DESVÁN DE LOS SUEÑOS","https://www.lorca.es/agenda/detalleagenda.asp?idagenda=3075","22/04/2022 0:00:00","22/04/2022 0:00:00","-1.69859579874196","37.6733038382908"
"3416","GOLF","https://www.lorca.es/agenda/detalleagenda.asp?idagenda=3416","23/04/2022 0:00:00","23/04/2022 0:00:00","-1.62527761531987","37.5481288359151"
"3390","JUGANDO AL ATLETISMO EN LA CALLE","https://www.lorca.es/agenda/detalleagenda.asp?idagenda=3390","23/04/2022 0:00:00","23/04/2022 0:00:00","-1.69451079441228","37.6717243162424"
"3291","NATACIÓN ARTÍSTICA","https://www.lorca.es/agenda/detalleagenda.asp?idagenda=3291","23/04/2022 0:00:00","24/04/2022 0:00:00","-1.68850801063695","37.6773416571359"
"3428","Sube a la Torre Campanario de San Patricio ","https://www.lorca.es/agenda/detalleagenda.asp?idagenda=3428","24/04/2022 0:00:00","27/11/2022 0:00:00","-1.69987521244207","37.6767132833618"
"3204","COMPAÑÍA MURCIANA DE LA ESCUELA DE FLAMENCO DE ANDALUCIA","https://www.lorca.es/agenda/detalleagenda.asp?idagenda=3204","29/04/2022 0:00:00","29/04/2022 0:00:00","-1.69859579874196","37.6733038382908"
"3429","Ruta guiada. Por los Castillos de Lorca  Xiquena y Tirieza","https://www.lorca.es/agenda/detalleagenda.asp?idagenda=3429","30/04/2022 0:00:00","15/10/2022 0:00:00","-1.69696769786992","37.6797234850808"
"3072","MUERTE DE UN VIAJANTE","https://www.lorca.es/agenda/detalleagenda.asp?idagenda=3072","07/05/2022 0:00:00","07/05/2022 0:00:00","-1.69859579874196","37.6733038382908"
"3420","AJEDREZ","https://www.lorca.es/agenda/detalleagenda.asp?idagenda=3420","07/05/2022 0:00:00","07/05/2022 0:00:00","-1.69248438550148","37.6684420298452"
"3316","Visita teatralizada: EL SECRETO DEL IRLANDÉS","https://www.lorca.es/agenda/detalleagenda.asp?idagenda=3316","07/05/2022 0:00:00","07/05/2022 0:00:00","-1.69908396078267","37.6767854617011"
