fecha_hasta;tipo;lugar;titulo;direccion;hora;fecha_desde;id;observaciones;info;leyenda/0/tipo;leyenda/1/idioma;parametros;distritos/0/distrito;organiza;programa
09-04-2022;Música;Cotton Club Bilbao;Kontzertua. Las luces del barro tour. Jabi Izurieta. 11 €-tik / Desde 11 €;Cotton Club Bilbao;20:00;09-04-2022;1279215955230;;;Evento de pago;Evento en castellano;http://www.bilbao.net/cs/Satellite?c=BIO_Evento_FA&amp;cid=1279215955230&amp;language=es&amp;pageid=1272990243152&amp;pagename=Bilbaonet/BIO_Evento_FA/BIO_Evento;Abando;;
09-04-2022;Infantiles;;"Zuzeneko musika / Música
en directo. Descubriendo a
Bon Jovi vs Guns & Roses.
Rock en familia S.L. 17 €";;17:00;09-04-2022;1279215953844;;;Evento de pago;Evento en castellano;http://www.bilbao.net/cs/Satellite?c=BIO_Evento_FA&amp;cid=1279215953844&amp;language=es&amp;pageid=1272990243152&amp;pagename=Bilbaonet/BIO_Evento_FA/BIO_Evento;;;
10-04-2022;Música;Euskalduna Jauregia. Palacio de Congresos y de la Música;"Palacio Euskalduna
Jauregia (Auditorium).
Kontzertua. La novia vendida
(B. Smetana) + Otello
(A. Dvorak). Euskadiko Orkestra
(Zuz./Dir.: Pietari Inkinen).
18 €-tik / Desde 18 €. / (Auditorium).
Kontzertua. The Ara Malikian
world tour. Ara Malikian.
42 €-tik / Desde 42 €";Avenida Abandoibarra 4 48011 Bilbao;"Día 9; 19:30 / Día 10; 21.00";09-04-2022;1279215953225;;;Evento de pago;Evento en castellano;http://www.bilbao.net/cs/Satellite?c=BIO_Evento_FA&amp;cid=1279215953225&amp;language=es&amp;pageid=1272990243152&amp;pagename=Bilbaonet/BIO_Evento_FA/BIO_Evento;;;
09-04-2022;Teatro y Danza;Museo de Reproducciones Artísticas de Bilbao;"Dantza. BLV-ART 2022. Altzoan altzoan esaten dit / Bragas y Celine.
Oihana Vesga.";Calle San Francisco 14 48003 Bilbao;19:00;09-04-2022;1279215952185;;;Evento gratuito;Evento en castellano;http://www.bilbao.net/cs/Satellite?c=BIO_Evento_FA&amp;cid=1279215952185&amp;language=es&amp;pageid=1272990243152&amp;pagename=Bilbaonet/BIO_Evento_FA/BIO_Evento;;;
09-04-2022;Música;Centro Municipal de Otxarkoaga;Kontzertua. Betiko musika / Música de siempre. Otxote Bilbao Argia.;Avenida Casals Pau 19 48004 Bilbao;18:00;09-04-2022;1279215949843;;;Evento gratuito;Evento en castellano;http://www.bilbao.net/cs/Satellite?c=BIO_Evento_FA&amp;cid=1279215949843&amp;language=es&amp;pageid=1272990243152&amp;pagename=Bilbaonet/BIO_Evento_FA/BIO_Evento;;;
10-04-2022;Teatro y Danza;;"Antzerkia / Teatro. BBK Off Festival 2022. Oficina de donaciones de historias de amor. Dramaturgia y dirección: Clara García Fraile. / Antzerkia / Dantza / Musika. BBK Off Festival 2022. Yo no soy bailarina + 360 (Siringe) + Green songs. Elsa Moreno Calabuig + Laura Cobo + María Ibarretxe.
7 €";;;09-04-2022;1279215946447;;;Evento gratuito;Evento en castellano;http://www.bilbao.net/cs/Satellite?c=BIO_Evento_FA&amp;cid=1279215946447&amp;language=es&amp;pageid=1272990243152&amp;pagename=Bilbaonet/BIO_Evento_FA/BIO_Evento;;;
09-04-2022;Música;Sala Azkena;"Kontzertua. Mäbu. 12 €-tik / Desde 12 €. / Kontzertua. No Konforme.
10 €-tik / Desde 10 €.";Calle Ibañez de Bilbao 26 48009 Bilbao;"Día 8; 21:00 / Día 9; 20:30";09-04-2022;1279215939000;;;Evento de pago;Evento en castellano;http://www.bilbao.net/cs/Satellite?c=BIO_Evento_FA&amp;cid=1279215939000&amp;language=es&amp;pageid=1272990243152&amp;pagename=Bilbaonet/BIO_Evento_FA/BIO_Evento;;;
09-04-2022;Música;Kafe Antzokia;Kontzertua. Supersuckers + The Lizards. 18 €-tik / Desde 18 €.;Calle San Vicente 2 48001 Bilbao;22:00;09-04-2022;1279215958120;;;Evento de pago;Evento en castellano;http://www.bilbao.net/cs/Satellite?c=BIO_Evento_FA&amp;cid=1279215958120&amp;language=es&amp;pageid=1272990243152&amp;pagename=Bilbaonet/BIO_Evento_FA/BIO_Evento;;;
09-04-2022;Música;Santana 27;"Santana 27. Gold Aretoa. Kontzertua. 25 joan dira ta! Zea Mays.
19´21 €-tik / Desde 19´21 €. / Blue Aretoa. Kontzertua. Al Safir. 16´75 €-tik / Desde 16´75 €.";Calle Telleria 27 48004 Bilbao;21:00;09-04-2022;1279215957809;;;Evento de pago;Evento en castellano;http://www.bilbao.net/cs/Satellite?c=BIO_Evento_FA&amp;cid=1279215957809&amp;language=es&amp;pageid=1272990243152&amp;pagename=Bilbaonet/BIO_Evento_FA/BIO_Evento;;;
09-04-2022;Música;Kremlin aretoa;"Antzerkia / Teatro. Teatro; Impro; JAM! / Kremlin aretoa. Ene-Kat & Alfred Adler.";Kremlin aretoa;22:00 / 00:30;08-04-2022;1279215944914;;;Evento de pago;Evento en castellano;http://www.bilbao.net/cs/Satellite?c=BIO_Evento_FA&amp;cid=1279215944914&amp;language=es&amp;pageid=1272990243152&amp;pagename=Bilbaonet/BIO_Evento_FA/BIO_Evento;Ibaiondo;;
